2451198|32945|2451207|12274|20132|1520323|2914|26752|12169|1228057|2172|24363|31|7|12|5|5|17881|71|21.17|40.85|17.56|1653.59|1246.76|1503.07|2900.35|112.2|0|144.84|1246.76|1358.96|1391.6|1503.8|-256.31
2450960|28938|2450963|12274|15149|1160602|5255|24755|15687|1342387|1914|43014|28|7|16|5|227|23934|22|47.84|138.73|123.46|335.94|2716.12|1052.48|3052.06|162.96|0|152.46|2716.12|2879.08|2868.58|3031.54|1663.64
2451300|68596|2451324|12274|45732|189771|3763|43802|31241|1915967|2672|19111|26|1|8|5|232|24133|45|75.17|103.73|99.58|186.75|4481.1|3382.65|4667.85|21.5|3405.63|1026.9|1075.47|1096.97|2102.37|2123.87|-2307.18
2451515|79100|2451558|12274|88701|575910|3919|22328|88701|575910|3919|22328|28|20|4|2|163|24638|91|70.93|118.45|81.73|3341.52|7437.43|6454.63|10778.95|148.74|0|214.76|7437.43|7586.17|7652.19|7800.93|982.8
2451170|25095|2451261|12274|35939|228189|5239|30289|15929|739109|2239|6089|26|7|4|4|244|24884|90|33.15|76.57|55.89|1861.2|5030.1|2983.5|6891.3|251.5|0|826.2|5030.1|5281.6|5856.3|6107.8|2046.6
2451541|42323|2451588|12274|46629|1213966|1303|19040|33721|885991|251|15588|55|4|8|5|295|25416|77|75.03|95.28|24.77|5429.27|1907.29|5777.31|7336.56|57.21|0|1613.92|1907.29|1964.5|3521.21|3578.42|-3870.02
2451049|78368|2451159|12274|98776|1506866|556|14646|55840|361905|916|35806|19|22|14|1|138|28017|82|46.6|54.05|52.96|89.38|4342.72|3821.2|4432.1|303.99|0|1683.46|4342.72|4646.71|6026.18|6330.17|521.52
2451353|71531|2451417|12274|48507|576964|4174|39831|6464|620371|5108|5518|56|14|10|4|88|29341|87|27.68|38.47|20|1606.89|1740|2408.16|3346.89|156.6|0|200.1|1740|1896.6|1940.1|2096.7|-668.16
2451143|51196|2451220|12274|78097|1626751|2605|32859|68653|165630|4774|38581|52|19|13|1|229|29772|48|33.9|42.03|38.24|181.92|1835.52|1627.2|2017.44|110.13|0|362.88|1835.52|1945.65|2198.4|2308.53|208.32
2451095|21011|2451106|12274|35499|384510|6321|10532|21569|1448784|318|26929|28|4|4|5|156|30460|2|57.42|133.21|85.25|95.92|170.5|114.84|266.42|0|0|29.3|170.5|170.5|199.8|199.8|55.66
